    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
    0.9375000000E-02
    0.9843750000E-02
    0.1031250000E-01
    0.1078125000E-01
    0.1125000000E-01
    0.1171875000E-01
    0.1218750000E-01
    0.1265625000E-01
    0.1312500000E-01
    0.1359375000E-01
    0.1406250000E-01
    0.1453125000E-01
    0.1500000000E-01
    0.1546875000E-01
    0.1593750000E-01
    0.1640625000E-01
    0.1687500000E-01
    0.1734375000E-01
    0.1781250000E-01
    0.1828125000E-01
    0.1875000000E-01
    0.1921875000E-01
    0.1968750000E-01
    0.2015625000E-01
    0.2062500000E-01
    0.2109375000E-01
    0.2156250000E-01
    0.2203125000E-01
    0.2250000000E-01
    0.2296875000E-01
    0.2343750000E-01
    0.2390625000E-01
    0.2437500000E-01
    0.2484375000E-01
    0.2531250000E-01
    0.2578125000E-01
    0.2625000000E-01
    0.2671875000E-01
    0.2718750000E-01
    0.2765625000E-01
    0.2812500000E-01
    0.2859375000E-01
    0.2906250000E-01
    0.2953125000E-01
    0.3000000000E-01
    0.3052256753E-01
    0.3104513053E-01
    0.3156768445E-01
    0.3209022477E-01
    0.3261274694E-01
    0.3313524644E-01
    0.3365771872E-01
    0.3418015926E-01
    0.3470256352E-01
    0.3522492698E-01
    0.3574724510E-01
    0.3626951336E-01
    0.3679172723E-01
    0.3731388219E-01
    0.3783597372E-01
    0.3835799728E-01
    0.3887994838E-01
    0.3940182250E-01
    0.3992361511E-01
    0.4044532172E-01
    0.4096693781E-01
    0.4148845888E-01
    0.4200988044E-01
    0.4253119799E-01
    0.4305240703E-01
    0.4357350308E-01
    0.4409448164E-01
    0.4461533824E-01
    0.4513606841E-01
    0.4565666767E-01
    0.4617713154E-01
    0.4669745558E-01
    0.4721763531E-01
    0.4773766629E-01
    0.4825754407E-01
    0.4877726420E-01
    0.4929682225E-01
    0.4981621378E-01
    0.5033543437E-01
    0.5085447960E-01
    0.5137334505E-01
    0.5189202632E-01
    0.5241051900E-01
    0.5292881870E-01
    0.5344692103E-01
    0.5396482160E-01
    0.5448251605E-01
    0.5500000000E-01
    0.0000000000E+00
    0.4687500000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.4218750000E-02
    0.4687500000E-02
    0.5156250000E-02
    0.5625000000E-02
    0.6093750000E-02
    0.6562500000E-02
    0.7031250000E-02
    0.7500000000E-02
    0.7968750000E-02
    0.8437500000E-02
    0.8906250000E-02
