    0.2241776069E-01
    0.2277963354E-01
    0.2316282087E-01
    0.2356790526E-01
    0.2399538734E-01
    0.2444567111E-01
    0.2491904880E-01
    0.2541568572E-01
    0.2593560540E-01
    0.2647867539E-01
    0.2704459425E-01
    0.2763288013E-01
    0.2824286152E-01
    0.2887367055E-01
    0.2952423941E-01
    0.3019330023E-01
    0.3087938878E-01
    0.3158085219E-01
    0.3229586083E-01
    0.3302242432E-01
    0.3375841133E-01
    0.3450157312E-01
    0.3524956994E-01
    0.3600000000E-01
    0.3650015155E-01
    0.3700030311E-01
    0.3750045466E-01
    0.3800060622E-01
    0.3850075777E-01
    0.3900090933E-01
    0.3950106088E-01
    0.4000121244E-01
    0.4050136399E-01
    0.4100151555E-01
    0.4150166710E-01
    0.4200181866E-01
    0.4250197021E-01
    0.4300212177E-01
    0.4350227332E-01
    0.4400242488E-01
    0.4450257643E-01
    0.4500272799E-01
    0.4550287954E-01
    0.4600303110E-01
    0.4650318265E-01
    0.4700333421E-01
    0.4750348576E-01
    0.4800363732E-01
    0.4850378887E-01
    0.4900394043E-01
    0.4950409198E-01
    0.5000424354E-01
    0.1387778781E-18
    0.1104145128E-04
    0.2716991293E-04
    0.5061041103E-04
    0.8442914083E-04
    0.1327085862E-03
    0.2006032643E-03
    0.2940903937E-03
    0.4191474588E-03
    0.5801172494E-03
    0.7773483096E-03
    0.1004921621E-02
    0.1250000000E-02
    0.1463039894E-02
    0.1675252911E-02
    0.1885824964E-02
    0.2093967122E-02
    0.2298927170E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7714238923E-02
    0.7991417261E-02
    0.8342787597E-02
    0.8776873691E-02
    0.9296388170E-02
    0.9895030698E-02
    0.1055547105E-01
    0.1125000000E-01
    0.1194452895E-01
    0.1260496930E-01
    0.1320361183E-01
    0.1372312631E-01
    0.1415721240E-01
    0.1450858274E-01
    0.1478576108E-01
    0.1500000000E-01
    0.1520803867E-01
    0.1544874311E-01
    0.1572299653E-01
    0.1603005855E-01
    0.1636719574E-01
    0.1672949766E-01
    0.1710997659E-01
    0.1750000000E-01
    0.1789002341E-01
    0.1827050234E-01
    0.1863280426E-01
    0.1896994145E-01
    0.1927700347E-01
    0.1955125689E-01
    0.1979196133E-01
    0.2000000000E-01
    0.2020351413E-01
    0.2042143381E-01
    0.2065455851E-01
    0.2090369736E-01
    0.2116966319E-01
    0.2145326554E-01
    0.2175530257E-01
    0.2207655198E-01
    0.2241776069E-01
    0.2277963354E-01
    0.2316282087E-01
    0.2356790526E-01
    0.2399538734E-01
    0.2444567111E-01
    0.2491904880E-01
    0.2541568572E-01
    0.2593560540E-01
    0.2647867539E-01
    0.2704459425E-01
    0.2763288013E-01
    0.2824286152E-01
    0.2887367055E-01
    0.2952423941E-01
    0.3019330023E-01
    0.3087938878E-01
    0.3158085219E-01
    0.3229586083E-01
    0.3302242432E-01
    0.3375841133E-01
    0.3450157312E-01
    0.3524956994E-01
    0.3600000000E-01
    0.3650000000E-01
    0.3700000000E-01
    0.3750000000E-01
    0.3800000000E-01
    0.3850000000E-01
    0.3900000000E-01
    0.3950000000E-01
    0.4000000000E-01
    0.4050000000E-01
    0.4100000000E-01
    0.4150000000E-01
    0.4200000000E-01
    0.4250000000E-01
    0.4300000000E-01
    0.4350000000E-01
    0.4400000000E-01
    0.4450000000E-01
    0.4500000000E-01
    0.4550000000E-01
    0.4600000000E-01
    0.4650000000E-01
    0.4700000000E-01
    0.4750000000E-01
    0.4800000000E-01
    0.4850000000E-01
    0.4900000000E-01
    0.4950000000E-01
    0.5000000000E-01
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.0000000000E+00
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.4687500000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.9375000000E-03
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1406250000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.1875000000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2343750000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.2812500000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3281250000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
    0.3750000000E-02
