    0.1322299653E-01
    0.1353005855E-01
    0.1386719574E-01
    0.1422949766E-01
    0.1460997659E-01
    0.1500000000E-01
    0.1539002341E-01
    0.1577050234E-01
    0.1613280426E-01
    0.1646994145E-01
    0.1677700347E-01
    0.1705125689E-01
    0.1729196133E-01
    0.1750000000E-01
    0.1770803867E-01
    0.1794874311E-01
    0.1822299653E-01
    0.1853005855E-01
    0.1886719574E-01
    0.1922949766E-01
    0.1960997659E-01
    0.2000000000E-01
    0.2039002341E-01
    0.2077050234E-01
    0.2113280426E-01
    0.2146994145E-01
    0.2177700347E-01
    0.2205125689E-01
    0.2229196133E-01
    0.2250000000E-01
    0.2270803867E-01
    0.2294874311E-01
    0.2322299653E-01
    0.2353005855E-01
    0.2386719574E-01
    0.2422949766E-01
    0.2460997659E-01
    0.2500000000E-01
    0.2539002341E-01
    0.2577050234E-01
    0.2613280426E-01
    0.2646994145E-01
    0.2677700347E-01
    0.2705125689E-01
    0.2729196133E-01
    0.2750000000E-01
    0.2780217585E-01
    0.2811213412E-01
    0.2842998313E-01
    0.2875582690E-01
    0.2908976474E-01
    0.2943189089E-01
    0.2978229400E-01
    0.3014105677E-01
    0.3050825542E-01
    0.3088395930E-01
    0.3126823040E-01
    0.3166112289E-01
    0.3206268265E-01
    0.3247294682E-01
    0.3289194331E-01
    0.3331969038E-01
    0.3375619619E-01
    0.3420145830E-01
    0.3465546333E-01
    0.3511818647E-01
    0.3558959117E-01
    0.3606962866E-01
    0.3655823769E-01
    0.3705534418E-01
    0.3756086088E-01
    0.3807468719E-01
    0.3859670884E-01
    0.3912679777E-01
    0.3966481193E-01
    0.4021059522E-01
    0.4076397736E-01
    0.4132477394E-01
    0.4189278641E-01
    0.4246780216E-01
    0.4304959469E-01
    0.4363792376E-01
    0.4423253567E-01
    0.4483316350E-01
    0.4543952755E-01
    0.4605133565E-01
    0.4666828369E-01
    0.4729005613E-01
    0.4791632652E-01
    0.4854675818E-01
    0.4918100482E-01
    0.4981871129E-01
    0.5045951429E-01
    0.5110304321E-01
    0.5174892096E-01
    0.5239676480E-01
    0.5304618725E-01
    0.5369679704E-01
    0.5434819999E-01
    0.5500000000E-01
    0.1665334537E-18
    0.1111460555E-04
    0.2769937046E-04
    0.5233350103E-04
    0.8867614582E-04
    0.1417588092E-03
    0.2181704940E-03
    0.3258877062E-03
    0.4733435881E-03
    0.6672894883E-03
    0.9093971914E-03
    0.1192660647E-02
    0.1500000000E-02
    0.1667206370E-02
    0.1834319891E-02
    0.2001247920E-02
    0.2167898223E-02
    0.2334179184E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7708038674E-02
    0.7948743107E-02
    0.8222996526E-02
    0.8530058553E-02
    0.8867195737E-02
    0.9229497661E-02
    0.9609976590E-02
    0.1000000000E-01
    0.1039002341E-01
    0.1077050234E-01
    0.1113280426E-01
    0.1146994145E-01
    0.1177700347E-01
    0.1205125689E-01
    0.1229196133E-01
    0.1250000000E-01
    0.1270803867E-01
    0.1294874311E-01
    0.1322299653E-01
    0.1353005855E-01
    0.1386719574E-01
    0.1422949766E-01
    0.1460997659E-01
    0.1500000000E-01
    0.1539002341E-01
    0.1577050234E-01
    0.1613280426E-01
    0.1646994145E-01
    0.1677700347E-01
    0.1705125689E-01
    0.1729196133E-01
    0.1750000000E-01
    0.1770803867E-01
    0.1794874311E-01
    0.1822299653E-01
    0.1853005855E-01
    0.1886719574E-01
    0.1922949766E-01
    0.1960997659E-01
    0.2000000000E-01
    0.2039002341E-01
    0.2077050234E-01
    0.2113280426E-01
    0.2146994145E-01
    0.2177700347E-01
    0.2205125689E-01
    0.2229196133E-01
    0.2250000000E-01
    0.2270803867E-01
    0.2294874311E-01
    0.2322299653E-01
    0.2353005855E-01
    0.2386719574E-01
    0.2422949766E-01
    0.2460997659E-01
    0.2500000000E-01
    0.2539002341E-01
    0.2577050234E-01
    0.2613280426E-01
    0.2646994145E-01
    0.2677700347E-01
    0.2705125689E-01
    0.2729196133E-01
    0.2750000000E-01
    0.2780217585E-01
    0.2811213412E-01
    0.2842998313E-01
    0.2875582690E-01
    0.2908976474E-01
    0.2943189089E-01
    0.2978229400E-01
    0.3014105677E-01
    0.3050825542E-01
    0.3088395930E-01
    0.3126823040E-01
    0.3166112289E-01
    0.3206268265E-01
    0.3247294682E-01
    0.3289194331E-01
    0.3331969038E-01
    0.3375619619E-01
    0.3420145830E-01
    0.3465546333E-01
    0.3511818647E-01
    0.3558959117E-01
    0.3606962866E-01
    0.3655823769E-01
    0.3705534418E-01
    0.3756086088E-01
    0.3807468719E-01
    0.3859670884E-01
    0.3912679777E-01
    0.3966481193E-01
    0.4021059522E-01
    0.4076397736E-01
    0.4132477394E-01
    0.4189278641E-01
    0.4246780216E-01
    0.4304959469E-01
    0.4363792376E-01
    0.4423253567E-01
    0.4483316350E-01
    0.4543952755E-01
    0.4605133565E-01
    0.4666828369E-01
    0.4729005613E-01
    0.4791632652E-01
    0.4854675818E-01
    0.4918100482E-01
    0.4981871129E-01
    0.5045951429E-01
    0.5110304321E-01
    0.5174892096E-01
    0.5239676480E-01
    0.5304618725E-01
    0.5369679704E-01
    0.5434819999E-01
    0.5500000000E-01
    0.1665334537E-18
    0.1111460555E-04
    0.2769937046E-04
    0.5233350103E-04
    0.8867614582E-04
    0.1417588092E-03
    0.2181704940E-03
    0.3258877062E-03
    0.4733435881E-03
    0.6672894883E-03
    0.9093971914E-03
    0.1192660647E-02
    0.1500000000E-02
    0.1667206370E-02
    0.1834319891E-02
    0.2001247920E-02
    0.2167898223E-02
    0.2334179184E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7708038674E-02
    0.7948743107E-02
    0.8222996526E-02
    0.8530058553E-02
    0.8867195737E-02
    0.9229497661E-02
    0.9609976590E-02
    0.1000000000E-01
    0.1039002341E-01
    0.1077050234E-01
    0.1113280426E-01
    0.1146994145E-01
    0.1177700347E-01
    0.1205125689E-01
    0.1229196133E-01
    0.1250000000E-01
    0.1270803867E-01
    0.1294874311E-01
    0.1322299653E-01
    0.1353005855E-01
    0.1386719574E-01
    0.1422949766E-01
    0.1460997659E-01
    0.1500000000E-01
    0.1539002341E-01
    0.1577050234E-01
    0.1613280426E-01
    0.1646994145E-01
    0.1677700347E-01
    0.1705125689E-01
    0.1729196133E-01
    0.1750000000E-01
    0.1770803867E-01
    0.1794874311E-01
    0.1822299653E-01
    0.1853005855E-01
    0.1886719574E-01
    0.1922949766E-01
    0.1960997659E-01
    0.2000000000E-01
    0.2039002341E-01
    0.2077050234E-01
    0.2113280426E-01
    0.2146994145E-01
    0.2177700347E-01
    0.2205125689E-01
    0.2229196133E-01
    0.2250000000E-01
    0.2270803867E-01
    0.2294874311E-01
    0.2322299653E-01
    0.2353005855E-01
    0.2386719574E-01
    0.2422949766E-01
    0.2460997659E-01
    0.2500000000E-01
    0.2539002341E-01
    0.2577050234E-01
    0.2613280426E-01
    0.2646994145E-01
    0.2677700347E-01
    0.2705125689E-01
    0.2729196133E-01
    0.2750000000E-01
    0.2780217585E-01
    0.2811213412E-01
    0.2842998313E-01
    0.2875582690E-01
    0.2908976474E-01
    0.2943189089E-01
    0.2978229400E-01
    0.3014105677E-01
    0.3050825542E-01
    0.3088395930E-01
    0.3126823040E-01
    0.3166112289E-01
    0.3206268265E-01
    0.3247294682E-01
    0.3289194331E-01
    0.3331969038E-01
    0.3375619619E-01
    0.3420145830E-01
    0.3465546333E-01
    0.3511818647E-01
    0.3558959117E-01
    0.3606962866E-01
    0.3655823769E-01
    0.3705534418E-01
    0.3756086088E-01
    0.3807468719E-01
    0.3859670884E-01
    0.3912679777E-01
    0.3966481193E-01
    0.4021059522E-01
    0.4076397736E-01
    0.4132477394E-01
    0.4189278641E-01
    0.4246780216E-01
    0.4304959469E-01
    0.4363792376E-01
    0.4423253567E-01
    0.4483316350E-01
    0.4543952755E-01
    0.4605133565E-01
    0.4666828369E-01
    0.4729005613E-01
    0.4791632652E-01
    0.4854675818E-01
    0.4918100482E-01
    0.4981871129E-01
    0.5045951429E-01
    0.5110304321E-01
    0.5174892096E-01
    0.5239676480E-01
    0.5304618725E-01
    0.5369679704E-01
    0.5434819999E-01
    0.5500000000E-01
    0.1665334537E-18
    0.1111460555E-04
    0.2769937046E-04
    0.5233350103E-04
    0.8867614582E-04
    0.1417588092E-03
    0.2181704940E-03
    0.3258877062E-03
    0.4733435881E-03
    0.6672894883E-03
    0.9093971914E-03
    0.1192660647E-02
    0.1500000000E-02
    0.1667206370E-02
    0.1834319891E-02
    0.2001247920E-02
    0.2167898223E-02
    0.2334179184E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7708038674E-02
    0.7948743107E-02
    0.8222996526E-02
    0.8530058553E-02
    0.8867195737E-02
    0.9229497661E-02
    0.9609976590E-02
    0.1000000000E-01
    0.1039002341E-01
    0.1077050234E-01
    0.1113280426E-01
    0.1146994145E-01
    0.1177700347E-01
    0.1205125689E-01
    0.1229196133E-01
    0.1250000000E-01
    0.1270803867E-01
    0.1294874311E-01
    0.1322299653E-01
    0.1353005855E-01
    0.1386719574E-01
    0.1422949766E-01
    0.1460997659E-01
    0.1500000000E-01
    0.1539002341E-01
    0.1577050234E-01
    0.1613280426E-01
    0.1646994145E-01
    0.1677700347E-01
    0.1705125689E-01
    0.1729196133E-01
    0.1750000000E-01
    0.1770803867E-01
    0.1794874311E-01
    0.1822299653E-01
    0.1853005855E-01
    0.1886719574E-01
    0.1922949766E-01
    0.1960997659E-01
    0.2000000000E-01
    0.2039002341E-01
    0.2077050234E-01
    0.2113280426E-01
    0.2146994145E-01
    0.2177700347E-01
    0.2205125689E-01
    0.2229196133E-01
    0.2250000000E-01
    0.2270803867E-01
    0.2294874311E-01
    0.2322299653E-01
    0.2353005855E-01
    0.2386719574E-01
    0.2422949766E-01
    0.2460997659E-01
    0.2500000000E-01
    0.2539002341E-01
    0.2577050234E-01
    0.2613280426E-01
    0.2646994145E-01
    0.2677700347E-01
    0.2705125689E-01
    0.2729196133E-01
    0.2750000000E-01
    0.2780217585E-01
    0.2811213412E-01
    0.2842998313E-01
    0.2875582690E-01
    0.2908976474E-01
    0.2943189089E-01
    0.2978229400E-01
    0.3014105677E-01
    0.3050825542E-01
    0.3088395930E-01
    0.3126823040E-01
    0.3166112289E-01
    0.3206268265E-01
    0.3247294682E-01
    0.3289194331E-01
    0.3331969038E-01
    0.3375619619E-01
    0.3420145830E-01
    0.3465546333E-01
    0.3511818647E-01
    0.3558959117E-01
    0.3606962866E-01
    0.3655823769E-01
    0.3705534418E-01
    0.3756086088E-01
    0.3807468719E-01
    0.3859670884E-01
    0.3912679777E-01
    0.3966481193E-01
    0.4021059522E-01
    0.4076397736E-01
    0.4132477394E-01
    0.4189278641E-01
    0.4246780216E-01
    0.4304959469E-01
    0.4363792376E-01
    0.4423253567E-01
    0.4483316350E-01
    0.4543952755E-01
    0.4605133565E-01
    0.4666828369E-01
    0.4729005613E-01
    0.4791632652E-01
    0.4854675818E-01
    0.4918100482E-01
    0.4981871129E-01
    0.5045951429E-01
    0.5110304321E-01
    0.5174892096E-01
    0.5239676480E-01
    0.5304618725E-01
    0.5369679704E-01
    0.5434819999E-01
    0.5500000000E-01
    0.1665334537E-18
    0.1111460555E-04
    0.2769937046E-04
    0.5233350103E-04
    0.8867614582E-04
    0.1417588092E-03
    0.2181704940E-03
    0.3258877062E-03
    0.4733435881E-03
    0.6672894883E-03
    0.9093971914E-03
    0.1192660647E-02
    0.1500000000E-02
    0.1667206370E-02
    0.1834319891E-02
    0.2001247920E-02
    0.2167898223E-02
    0.2334179184E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7708038674E-02
    0.7948743107E-02
    0.8222996526E-02
    0.8530058553E-02
    0.8867195737E-02
    0.9229497661E-02
    0.9609976590E-02
    0.1000000000E-01
    0.1039002341E-01
    0.1077050234E-01
    0.1113280426E-01
    0.1146994145E-01
    0.1177700347E-01
    0.1205125689E-01
    0.1229196133E-01
    0.1250000000E-01
    0.1270803867E-01
    0.1294874311E-01
    0.1322299653E-01
    0.1353005855E-01
    0.1386719574E-01
    0.1422949766E-01
    0.1460997659E-01
    0.1500000000E-01
    0.1539002341E-01
    0.1577050234E-01
    0.1613280426E-01
    0.1646994145E-01
    0.1677700347E-01
    0.1705125689E-01
    0.1729196133E-01
    0.1750000000E-01
    0.1770803867E-01
    0.1794874311E-01
    0.1822299653E-01
    0.1853005855E-01
    0.1886719574E-01
    0.1922949766E-01
    0.1960997659E-01
    0.2000000000E-01
    0.2039002341E-01
    0.2077050234E-01
    0.2113280426E-01
    0.2146994145E-01
    0.2177700347E-01
    0.2205125689E-01
    0.2229196133E-01
    0.2250000000E-01
    0.2270803867E-01
    0.2294874311E-01
    0.2322299653E-01
    0.2353005855E-01
    0.2386719574E-01
    0.2422949766E-01
    0.2460997659E-01
    0.2500000000E-01
    0.2539002341E-01
    0.2577050234E-01
    0.2613280426E-01
    0.2646994145E-01
    0.2677700347E-01
    0.2705125689E-01
    0.2729196133E-01
    0.2750000000E-01
    0.2780217585E-01
    0.2811213412E-01
    0.2842998313E-01
    0.2875582690E-01
    0.2908976474E-01
    0.2943189089E-01
    0.2978229400E-01
    0.3014105677E-01
    0.3050825542E-01
    0.3088395930E-01
    0.3126823040E-01
    0.3166112289E-01
    0.3206268265E-01
    0.3247294682E-01
    0.3289194331E-01
    0.3331969038E-01
    0.3375619619E-01
    0.3420145830E-01
    0.3465546333E-01
    0.3511818647E-01
    0.3558959117E-01
    0.3606962866E-01
    0.3655823769E-01
    0.3705534418E-01
    0.3756086088E-01
    0.3807468719E-01
    0.3859670884E-01
    0.3912679777E-01
    0.3966481193E-01
    0.4021059522E-01
    0.4076397736E-01
    0.4132477394E-01
    0.4189278641E-01
    0.4246780216E-01
    0.4304959469E-01
    0.4363792376E-01
    0.4423253567E-01
    0.4483316350E-01
    0.4543952755E-01
    0.4605133565E-01
    0.4666828369E-01
    0.4729005613E-01
    0.4791632652E-01
    0.4854675818E-01
    0.4918100482E-01
    0.4981871129E-01
    0.5045951429E-01
    0.5110304321E-01
    0.5174892096E-01
    0.5239676480E-01
    0.5304618725E-01
    0.5369679704E-01
    0.5434819999E-01
    0.5500000000E-01
    0.1665334537E-18
    0.1111460555E-04
    0.2769937046E-04
    0.5233350103E-04
    0.8867614582E-04
    0.1417588092E-03
    0.2181704940E-03
    0.3258877062E-03
    0.4733435881E-03
    0.6672894883E-03
    0.9093971914E-03
    0.1192660647E-02
    0.1500000000E-02
    0.1667206370E-02
    0.1834319891E-02
    0.2001247920E-02
    0.2167898223E-02
    0.2334179184E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7708038674E-02
    0.7948743107E-02
    0.8222996526E-02
    0.8530058553E-02
    0.8867195737E-02
    0.9229497661E-02
    0.9609976590E-02
    0.1000000000E-01
    0.1039002341E-01
    0.1077050234E-01
    0.1113280426E-01
    0.1146994145E-01
    0.1177700347E-01
    0.1205125689E-01
    0.1229196133E-01
    0.1250000000E-01
    0.1270803867E-01
    0.1294874311E-01
    0.1322299653E-01
    0.1353005855E-01
    0.1386719574E-01
    0.1422949766E-01
    0.1460997659E-01
    0.1500000000E-01
    0.1539002341E-01
    0.1577050234E-01
    0.1613280426E-01
    0.1646994145E-01
    0.1677700347E-01
    0.1705125689E-01
    0.1729196133E-01
    0.1750000000E-01
    0.1770803867E-01
    0.1794874311E-01
    0.1822299653E-01
    0.1853005855E-01
    0.1886719574E-01
    0.1922949766E-01
    0.1960997659E-01
    0.2000000000E-01
    0.2039002341E-01
    0.2077050234E-01
    0.2113280426E-01
    0.2146994145E-01
    0.2177700347E-01
    0.2205125689E-01
    0.2229196133E-01
    0.2250000000E-01
    0.2270803867E-01
    0.2294874311E-01
    0.2322299653E-01
    0.2353005855E-01
    0.2386719574E-01
    0.2422949766E-01
    0.2460997659E-01
    0.2500000000E-01
    0.2539002341E-01
    0.2577050234E-01
    0.2613280426E-01
    0.2646994145E-01
    0.2677700347E-01
    0.2705125689E-01
    0.2729196133E-01
    0.2750000000E-01
    0.2780217585E-01
    0.2811213412E-01
    0.2842998313E-01
    0.2875582690E-01
    0.2908976474E-01
    0.2943189089E-01
    0.2978229400E-01
    0.3014105677E-01
    0.3050825542E-01
    0.3088395930E-01
    0.3126823040E-01
    0.3166112289E-01
    0.3206268265E-01
    0.3247294682E-01
    0.3289194331E-01
    0.3331969038E-01
    0.3375619619E-01
    0.3420145830E-01
    0.3465546333E-01
    0.3511818647E-01
    0.3558959117E-01
    0.3606962866E-01
    0.3655823769E-01
    0.3705534418E-01
    0.3756086088E-01
    0.3807468719E-01
    0.3859670884E-01
    0.3912679777E-01
    0.3966481193E-01
    0.4021059522E-01
    0.4076397736E-01
    0.4132477394E-01
    0.4189278641E-01
    0.4246780216E-01
    0.4304959469E-01
    0.4363792376E-01
    0.4423253567E-01
    0.4483316350E-01
    0.4543952755E-01
    0.4605133565E-01
    0.4666828369E-01
    0.4729005613E-01
    0.4791632652E-01
    0.4854675818E-01
    0.4918100482E-01
    0.4981871129E-01
    0.5045951429E-01
    0.5110304321E-01
    0.5174892096E-01
    0.5239676480E-01
    0.5304618725E-01
    0.5369679704E-01
    0.5434819999E-01
    0.5500000000E-01
    0.1665334537E-18
    0.1111460555E-04
    0.2769937046E-04
    0.5233350103E-04
    0.8867614582E-04
    0.1417588092E-03
    0.2181704940E-03
    0.3258877062E-03
    0.4733435881E-03
    0.6672894883E-03
    0.9093971914E-03
    0.1192660647E-02
    0.1500000000E-02
    0.1667206370E-02
    0.1834319891E-02
    0.2001247920E-02
    0.2167898223E-02
    0.2334179184E-02
    0.2500000000E-02
    0.2708038674E-02
    0.2948743107E-02
    0.3222996526E-02
    0.3530058553E-02
    0.3867195737E-02
    0.4229497661E-02
    0.4609976590E-02
    0.5000000000E-02
    0.5390023410E-02
    0.5770502339E-02
    0.6132804263E-02
    0.6469941447E-02
    0.6777003474E-02
    0.7051256893E-02
    0.7291961326E-02
    0.7500000000E-02
    0.7708038674E-02
    0.7948743107E-02
    0.8222996526E-02
    0.8530058553E-02
